,plane_name,plane_id
126,Cessna 208 Caravan,127
127,Cessna 210 Centurion,128
128,Cessna Citation CJ3,129
129,Cessna Citation CJ4,130
130,Cessna Citation Excel,131
131,Cessna Citation I,132
132,Cessna Citation II,133
133,Cessna Citation Mustang,134
134,Cessna Citation Sovereign,135
135,Cessna Citation X,136
136,COMAC C-919,137
137,Concorde,138
138,Dassault Falcon 2000,139
139,Dassault Falcon 50,140
140,Dassault Falcon 7X,141
141,Dassault Falcon 900,142
142,De Havilland Canada DHC-2 Beaver,143
143,De Havilland Canada DHC-2 Turbo-Beaver,144
144,De Havilland Canada DHC-3 Otter,145
145,De Havilland Canada DHC-4 Caribou,146
146,De Havilland Canada DHC-6 Twin Otter,147
147,De Havilland Canada DHC-7 Dash 7,148
148,De Havilland Canada DHC-8-100 Dash 8 / 8Q,149
149,De Havilland Canada DHC-8-200 Dash 8 / 8Q,150
150,De Havilland Canada DHC-8-300 Dash 8,151
151,De Havilland Canada DHC-8-400 Dash 8Q,152
152,De Havilland DH.104 Dove,153
153,De Havilland DH.114 Heron,154
154,Douglas DC-10,155
155,Douglas DC-3,156
156,Douglas DC-6,157
157,Douglas DC-8-50,158
158,Douglas DC-8-62,159
159,Douglas DC-8-72,160
160,Douglas DC-9-10,161
161,Douglas DC-9-20,162
162,Douglas DC-9-30,163
163,Douglas DC-9-40,164
164,Douglas DC-9-50,165
165,Embraer 170,166
166,Embraer 175,167
167,Embraer 175 (long wing),168
168,Embraer 175 (short wing),169
169,Embraer 190,170
170,Embraer 195,171
171,Embraer E190-E2,172
172,Embraer E195-E2,173
173,Embraer EMB 110 Bandeirante,174
174,Embraer EMB 120 Brasilia,175
175,Embraer Legacy 450,176
176,Embraer Legacy 600,177
177,Embraer Phenom 100,178
178,Embraer Phenom 300,179
179,Embraer RJ135,180
180,Embraer RJ140,181
181,Embraer RJ145,182
182,Fairchild Dornier 328JET,183
183,Fairchild Dornier Do.228,184
184,Fairchild Dornier Do.328,185
185,Fokker 100,186
186,Fokker 50,187
187,Fokker 70,188
188,Fokker F27 Friendship,189
189,Fokker F28 Fellowship,190
190,Gulfstream Aerospace G-159 Gulfstream I,191
191,Gulfstream G280,192
192,Gulfstream G650,193
193,Gulfstream IV,194
194,Gulfstream V,195
195,Gulfstream/Rockwell (Aero) Commander,196
196,Gulfstream/Rockwell (Aero) Turbo Commander,197
197,Harbin Yunshuji Y12,198
198,Hawker Siddeley HS 748,199
199,Ilyushin IL114,200
200,Ilyushin IL18,201
201,Ilyushin IL62,202
202,Ilyushin IL76,203
203,Ilyushin IL86,204
204,Ilyushin IL96,205
205,Learjet 35,206
206,Learjet 60,207
207,Lockheed L-1011 Tristar,208
208,Lockheed L-1049 Super Constellation,209
209,Lockheed L-182 / 282 / 382 (L-100) Hercules,210
210,Lockheed L-188 Electra,211
211,McDonnell Douglas MD-11,212
212,McDonnell Douglas MD-81,213
213,McDonnell Douglas MD-82,214
214,McDonnell Douglas MD-83,215
215,McDonnell Douglas MD-87,216
216,McDonnell Douglas MD-88,217
217,McDonnell Douglas MD-90,218
218,NAMC YS-11,219
219,Partenavia P.68,220
220,Pilatus Britten-Norman BN-2A Mk III Trislander,221
221,Pilatus Britten-Norman BN-2A/B Islander,222
222,Pilatus PC-12,223
223,Pilatus PC-6 Turbo Porter,224
224,Piper PA-28 (above 200 hp),225
225,Piper PA-28 (up to 180 hp),226
226,Piper PA-31 Navajo,227
227,Piper PA-44 Seminole,228
228,Piper PA-46,229
229,Saab 2000,230
230,Saab SF340A/B,231
231,Shorts SC-5 Belfast,232
232,Shorts SC-7 Skyvan,233
233,Shorts SD.330,234
234,Shorts SD.360,235
235,Sikorsky S-58T,236
236,Sikorsky S-61,237
237,Sikorsky S-76,238
238,Sikorsky S-92,239
239,Sukhoi Superjet 100-95,240
240,Tupolev Tu-134,241
241,Tupolev Tu-144,242
242,Tupolev Tu-154,243
243,Tupolev Tu-204,244
244,Yakovlev Yak-40,245
245,Yakovlev Yak-42,246
